feature_set,model,feature,mean_abs_shap
FS1_accessible,Random Forest,age_education,0.063
FS1_accessible,Random Forest,age,0.048
FS1_accessible,Random Forest,sex,0.041
FS1_accessible,Random Forest,age_ses,0.027
FS1_accessible,Random Forest,education,0.026
FS1_accessible,Random Forest,ses,0.023
FS1_accessible,Random Forest,hand,0.0
FS2_accessible_cognitive,Random Forest,mmse,0.228
FS2_accessible_cognitive,Random Forest,sex,0.053
FS2_accessible_cognitive,Random Forest,age_education,0.041
FS2_accessible_cognitive,Random Forest,age,0.039
FS2_accessible_cognitive,Random Forest,age_ses,0.029
FS2_accessible_cognitive,Random Forest,ses,0.019
FS2_accessible_cognitive,Random Forest,education,0.016
FS2_accessible_cognitive,Random Forest,hand,0.0
FS3_accessible_cognitive_anatomical,Random Forest,mmse,0.204
FS3_accessible_cognitive_anatomical,Random Forest,nwbv,0.089
FS3_accessible_cognitive_anatomical,Random Forest,age_nwbv,0.042
FS3_accessible_cognitive_anatomical,Random Forest,age,0.023
FS3_accessible_cognitive_anatomical,Random Forest,age_education,0.019
FS3_accessible_cognitive_anatomical,Random Forest,asf,0.018
FS3_accessible_cognitive_anatomical,Random Forest,etiv,0.015
FS3_accessible_cognitive_anatomical,Random Forest,sex,0.015
FS3_accessible_cognitive_anatomical,Random Forest,age_ses,0.014
FS3_accessible_cognitive_anatomical,Random Forest,ses,0.01
FS3_accessible_cognitive_anatomical,Random Forest,education,0.007
FS3_accessible_cognitive_anatomical,Random Forest,hand,0.0
